kev: jaredpalmer/kev-0.8b on cuda (float32)
[1/4500] 9deee0d4f93c6a7867eef08fe3be63be#1 qwen=Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.27s/msg, eta 95 min)
[24/4500] 88d5fd13c3e0ff9bd7b131b9c251dd0f#8 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.63s/msg, eta 121 min)
[25/4500] 291e8752b1737c209223ee3bf67ae1d1#1 qwen=Ambiguous References | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (1.61s/msg, eta 120 min)
[26/4500] c73581ad3758c37c98116e078620eafe#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (1.64s/msg, eta 123 min)
[27/4500] 832ab4fa124860200c24bd2f62aa7a96#1 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (1.64s/msg, eta 122 min)
[28/4500] dd30dda76e25051559a149044f07aba2#1 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (1.66s/msg, eta 124 min)
[29/4500] dd30dda76e25051559a149044f07aba2#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.66s/msg, eta 124 min)
[30/4500] dd30dda76e25051559a149044f07aba2#3 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.65s/msg, eta 123 min)
[31/4500] dd30dda76e25051559a149044f07aba2#4 qwen=Ambiguous References; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.66s/msg, eta 124 min)
[32/4500] c54c8e5554496318b8ab2999a19ad5c3#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.65s/msg, eta 123 min)
[33/4500] c84dca042d2b4f1b24cea4bc11f4b595#1 qwen=Unnecessary Repetition; Bias / Loaded Framing | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (1.66s/msg, eta 124 min)
[34/4500] c84dca042d2b4f1b24cea4bc11f4b595#2 qwen=Conflicting Constraints; Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (1.69s/msg, eta 126 min)
[35/4500] c84dca042d2b4f1b24cea4bc11f4b595#3 qwen=Unnecessary Repetition; Ambiguous References | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.71s/msg, eta 127 min)
[36/4500] dbce78a84bbd564d9450ef90c771e978#1 qwen=Unnecessary Repetition; Overloaded Prompt | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.71s/msg, eta 127 min)
[37/4500] 5bd6a59c6ad22b7d1b76c9d8b3e3680b#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Formality / Audience Mismatch (1.73s/msg, eta 129 min)
[38/4500] 5bd6a59c6ad22b7d1b76c9d8b3e3680b#2 qwen=Ambiguous References; Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints (1.73s/msg, eta 128 min)
[39/4500] 5bd6a59c6ad22b7d1b76c9d8b3e3680b#3 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Formality / Audience Mismatch (1.75s/msg, eta 130 min)
[40/4500] 5bd6a59c6ad22b7d1b76c9d8b3e3680b#4 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints (1.76s/msg, eta 131 min)
[41/4500] 5bd6a59c6ad22b7d1b76c9d8b3e3680b#5 qwen=Format Ambiguity; Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints (1.77s/msg, eta 131 min)
[42/4500] faab586b26de1d8cc1e32d321ab0b882#2 qwen=Ambiguous References; Overloaded Prompt | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.78s/msg, eta 132 min)
[43/4500] a9434495a678a26f909b3443105d1ad6#1 qwen=Unnecessary Repetition; Bias / Loaded Framing | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (1.79s/msg, eta 133 min)
[44/4500] 5afe97f2562c06667a7f1d4b5eea53da#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.79s/msg, eta 133 min)

interrupted - 44 rows written to prompt_smells_qwen_kev.csv
kev: jaredpalmer/kev-0.8b on cuda (float32)
resuming: 44 messages already labelled
[45/10000] 5afe97f2562c06667a7f1d4b5eea53da#2 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.77s/msg, eta 293 min)
[46/10000] 1aac1590f0db2983e8bb2a0c2c96ce56#1 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (1.79s/msg, eta 297 min)
[47/10000] 1aac1590f0db2983e8bb2a0c2c96ce56#3 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (1.89s/msg, eta 314 min)
[48/10000] d81d3ffa8545e347a16837db586256dc#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.93s/msg, eta 320 min)
[49/10000] 08ec9fe37d232fcce5a07588ab0b0432#1 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing (2.07s/msg, eta 343 min)
[50/10000] 08ec9fe37d232fcce5a07588ab0b0432#3 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing (2.13s/msg, eta 353 min)
[51/10000] da8ade9c68c3981ba0d3bc15bdecfac9#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.11s/msg, eta 349 min)
[52/10000] da8ade9c68c3981ba0d3bc15bdecfac9#2 qwen=Bias / Loaded Framing | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.03s/msg, eta 337 min)
[53/10000] 38dc452aa55fbc7e418345978bc3aeb6#1 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.07s/msg, eta 342 min)
[54/10000] 38dc452aa55fbc7e418345978bc3aeb6#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 337 min)
[55/10000] 7d369dccf0ed993cf940cc746a0ade6c#1 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.00s/msg, eta 331 min)
[56/10000] 7d369dccf0ed993cf940cc746a0ade6c#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.98s/msg, eta 328 min)
[57/10000] 7d369dccf0ed993cf940cc746a0ade6c#3 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.96s/msg, eta 325 min)
[58/10000] 392c0683b1aa48270e6b6aab823467f5#2 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (1.95s/msg, eta 322 min)
[59/10000] aab5ef96395efa0ff9bc5e23319384ec#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.93s/msg, eta 320 min)
[60/10000] 74b48bb91c7f3db21c88801ab87dc778#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.92s/msg, eta 318 min)
[61/10000] 74b48bb91c7f3db21c88801ab87dc778#2 qwen=Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.90s/msg, eta 315 min)
[62/10000] 1d08dc6c69f0f17f09d9acab87c2a357#1 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints (1.89s/msg, eta 313 min)
[63/10000] 1d08dc6c69f0f17f09d9acab87c2a357#2 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.88s/msg, eta 311 min)
[64/10000] 1d08dc6c69f0f17f09d9acab87c2a357#3 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.87s/msg, eta 309 min)
[65/10000] 1d08dc6c69f0f17f09d9acab87c2a357#4 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (1.85s/msg, eta 307 min)
[66/10000] 7956439c6fcef5135bb6960d55454af6#1 qwen=Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (1.93s/msg, eta 320 min)
[67/10000] 64747a6df61fbd0eee082be44933fe1d#1 qwen=Unnecessary Repetition; Conflicting Constraints | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.99s/msg, eta 330 min)
[68/10000] d63fb47bec60dbb883140603322f3333#1 qwen=Ambiguous References; Overloaded Prompt | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (2.00s/msg, eta 331 min)
[69/10000] d63fb47bec60dbb883140603322f3333#2 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Formality / Audience Mismatch (2.04s/msg, eta 337 min)
[70/10000] d63fb47bec60dbb883140603322f3333#3 qwen=Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.07s/msg, eta 343 min)
[71/10000] d63fb47bec60dbb883140603322f3333#4 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.11s/msg, eta 349 min)
[72/10000] f01f3f40c1fd00d9462f9f7bb7434d01#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.13s/msg, eta 353 min)
[73/10000] f01f3f40c1fd00d9462f9f7bb7434d01#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.13s/msg, eta 353 min)
[74/10000] f01f3f40c1fd00d9462f9f7bb7434d01#3 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.13s/msg, eta 353 min)
[75/10000] 5ce4b255aa05816f322e9e37e82cac74#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.14s/msg, eta 353 min)
[76/10000] 17c3cd1299ca6cf343e0deddd4653ff3#1 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.14s/msg, eta 355 min)
[77/10000] 17c3cd1299ca6cf343e0deddd4653ff3#2 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.15s/msg, eta 356 min)
[78/10000] 616ef4f28c0a8bd91f5affc39d811137#1 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.17s/msg, eta 359 min)
[79/10000] f4eb0bddc7ffd481c6b79bdce07175f4#1 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.16s/msg, eta 357 min)
[80/10000] f4eb0bddc7ffd481c6b79bdce07175f4#2 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.15s/msg, eta 355 min)
[81/10000] f4eb0bddc7ffd481c6b79bdce07175f4#3 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.14s/msg, eta 353 min)
[82/10000] f4eb0bddc7ffd481c6b79bdce07175f4#4 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints (2.13s/msg, eta 352 min)
[83/10000] f4eb0bddc7ffd481c6b79bdce07175f4#5 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (2.12s/msg, eta 350 min)
[84/10000] f4eb0bddc7ffd481c6b79bdce07175f4#6 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (2.11s/msg, eta 348 min)
[85/10000] f4eb0bddc7ffd481c6b79bdce07175f4#7 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (2.09s/msg, eta 345 min)
[86/10000] f4eb0bddc7ffd481c6b79bdce07175f4#8 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.07s/msg, eta 343 min)
[87/10000] f4eb0bddc7ffd481c6b79bdce07175f4#9 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.06s/msg, eta 340 min)
[88/10000] f4eb0bddc7ffd481c6b79bdce07175f4#10 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.04s/msg, eta 337 min)
[89/10000] 5d83792e0c9e68edf7c45d4aebe4eb05#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.03s/msg, eta 335 min)
[90/10000] 5d83792e0c9e68edf7c45d4aebe4eb05#2 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.01s/msg, eta 332 min)
[91/10000] 5748601dbbe8f733849d51cf2a2e690b#1 qwen=Format Ambiguity | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.02s/msg, eta 333 min)
[92/10000] 5748601dbbe8f733849d51cf2a2e690b#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.02s/msg, eta 334 min)
[93/10000] 7fc6366846ce9ff89f6924e7b3c8d4c8#1 qwen=Ambiguous References; Conflicting Constraints | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 337 min)
[94/10000] df2afa71c26c48849489d86dfa7ec726#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.04s/msg, eta 336 min)
[95/10000] df2afa71c26c48849489d86dfa7ec726#2 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.03s/msg, eta 335 min)
[96/10000] df2afa71c26c48849489d86dfa7ec726#3 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.02s/msg, eta 334 min)
[97/10000] df2afa71c26c48849489d86dfa7ec726#4 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.02s/msg, eta 334 min)
[98/10000] df2afa71c26c48849489d86dfa7ec726#5 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (2.02s/msg, eta 334 min)
[99/10000] df2afa71c26c48849489d86dfa7ec726#6 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (2.02s/msg, eta 333 min)
[100/10000] 8f0fbb46a6c0184baa35b4cae1f5b446#1 qwen=Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.02s/msg, eta 334 min)
[101/10000] c362c8843ab14016013b911e2d82113f#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.02s/msg, eta 333 min)
[102/10000] c362c8843ab14016013b911e2d82113f#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.02s/msg, eta 333 min)
[103/10000] c362c8843ab14016013b911e2d82113f#3 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.01s/msg, eta 332 min)
[104/10000] b44ee4237d92d517b139751e73797678#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.01s/msg, eta 332 min)
[105/10000] b44ee4237d92d517b139751e73797678#2 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.01s/msg, eta 332 min)
[106/10000] b44ee4237d92d517b139751e73797678#3 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.01s/msg, eta 332 min)
[107/10000] b44ee4237d92d517b139751e73797678#4 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.01s/msg, eta 332 min)
[108/10000] b44ee4237d92d517b139751e73797678#5 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.01s/msg, eta 331 min)
[109/10000] b44ee4237d92d517b139751e73797678#6 qwen=Vague / Missing Context; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.00s/msg, eta 330 min)
[110/10000] b44ee4237d92d517b139751e73797678#7 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.00s/msg, eta 330 min)
[111/10000] b44ee4237d92d517b139751e73797678#8 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.01s/msg, eta 331 min)
[112/10000] b44ee4237d92d517b139751e73797678#9 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.00s/msg, eta 330 min)
[113/10000] b44ee4237d92d517b139751e73797678#10 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.00s/msg, eta 330 min)
